1024,FPS,Name,Socket,Release Date,Frequency,Turbo Clock,TDP,Codename,Generation,# of Cores,# of Threads,Cache L1 Per Core,Cache L1,Cache L2 Per Core,Cache L2,Cache L3,Launch Price
Ryzen 9 7950X3D,222,Ryzen 9 7950X3D,AM5,"Jan 4th, 2023",4.2,5.7,,Raphael,Ryzen 9 (Zen 4 (Raphael)),16,32,64,1024,1024,16,128,$699 
Ryzen 7 7800X3D,222,Ryzen 7 7800X3D,AM5,"Jan 4th, 2023",4.2,5,,Raphael,Ryzen 7 (Zen 4 (Raphael)),8,16,64,512,1024,8,96,$449 
Ryzen 9 7900X3D,212,Ryzen 9 7900X3D,AM5,"Jan 4th, 2023",4.4,5.6,,Raphael,Ryzen 9 (Zen 4 (Raphael)),12,24,64,768,1024,12,128,$599 
Core i9-13900KS,202,Core i9-13900KS,LGA1700,"Jan 12th, 2023",3.2,6,,Raptor Lake-S,Core i9 (Raptor Lake),24,32,80,1920,2048,48,36,$699 
Core i9-13900K,200,Core i9-13900K,LGA1700,"Sep 27th, 2022",3,5.8,,Raptor Lake-S,Core i9 (Raptor Lake),24,32,80,1920,2048,48,36,$589 
Core i7-13700K,197,Core i7-13700K,LGA1700,"Sep 27th, 2022",3.4,5.4,,Raptor Lake-S,Core i7 (Raptor Lake),16,24,80,1280,2048,32,30,$409 
Ryzen 7 5800X3D,194,Ryzen 7 5800X3D,AM4,"Apr 20th, 2022",3.4,4.5,,Vermeer,Ryzen 7 (Zen 3 (Vermeer)),8,16,64,512,512,4,96,$449 
Core i5-13600K,187,Core i5-13600K,LGA1700,"Sep 27th, 2022",3.5,5.1,,Raptor Lake-S,Core i5 (Raptor Lake),14,20,80,1120,2048,28,24,$319 
Ryzen 5 5600X3D,181,Ryzen 5 5600X3D,AM4,"Jul 7th, 2023",3.3,4.4,,Vermeer,Ryzen 5 (Zen 3 (Vermeer)),6,12,64,384,512,3,96,$229 
Ryzen 9 7950X,179,Ryzen 9 7950X,AM5,"Sep 27th, 2022",4.5,5.7,,Raphael,Ryzen 9 (Zen 4 (Raphael)),16,32,64,1024,1024,16,64,$699 
Ryzen 7 7700,177,Ryzen 7 7700,AM5,"Jan 14th, 2023",3.8,5.3,,Raphael,Ryzen 7 (Zen 4 (Raphael)),8,16,64,512,1024,8,32,$329 
Ryzen 9 7900X,177,Ryzen 9 7900X,AM5,"Sep 27th, 2022",4.7,5.6,,Raphael,Ryzen 9 (Zen 4 (Raphael)),12,24,64,768,1024,12,64,$549 
Ryzen 9 7900,174,Ryzen 9 7900,AM5,"Jan 14th, 2023",3.7,5.4,,Raphael,Ryzen 9 (Zen 4 (Raphael)),12,24,64,768,1024,12,64,$429 
Ryzen 7 7700X,173,Ryzen 7 7700X,AM5,"Sep 27th, 2022",4.5,5.4,,Raphael,Ryzen 7 (Zen 4 (Raphael)),8,16,64,512,1024,8,32,$399 
Core i9-12900K,172,Core i9-12900K,LGA1700,"Nov 4th, 2021",3.2,5.2,,Alder Lake-S,Core i9 (Alder Lake-S),16,24,80,1280,1280,20,30,$599 
Core i9-12900KS,172,Core i9-12900KS,LGA1700,"Apr 5th, 2022",3.4,5.5,,Alder Lake-S,Core i9 (Alder Lake-S),16,24,80,1280,1280,20,30,$739 
Ryzen 5 7600X,168,Ryzen 5 7600X,AM5,"Sep 27th, 2022",4.7,5.3,,Raphael,Ryzen 5 (Zen 4 (Raphael)),6,12,64,384,1024,6,32,$299 
Core i7-12700K,165,Core i7-12700K,LGA1700,"Nov 4th, 2021",3.6,5,,Alder Lake-S,Core i7 (Alder Lake-S),12,20,80,960,1280,15,25,$409 
Ryzen 5 7600,159,Ryzen 5 7600,AM5,"Jan 14th, 2023",3.8,5.1,,Raphael,Ryzen 5 (Zen 4 (Raphael)),6,12,64,384,1024,6,32,$229 
Core i5-12600K,157,Core i5-12600K,LGA1700,"Nov 4th, 2021",3.7,4.9,,Alder Lake-S,Core i5 (Alder Lake-S),10,16,80,800,1280,"12,5",20,$289 
Core i5-13400,153,Core i5-13400,LGA1700,"Jan 4th, 2023",2.5,4.6,,Raptor Lake-S,Core i5 (Raptor Lake),10,16,80,800,1280,"12,5",20,$221 
Core i9-11900K,149,Core i9-11900K,LGA1200,"Mar 16th, 2021",3.5,5.3,,Rocket Lake,Core i9 (Rocket Lake-S),8,16,80,640,512,4,16,$539 
Ryzen 9 5950X,148,Ryzen 9 5950X,AM4,"Nov 5th, 2020",3.4,4.9,,Vermeer,Ryzen 9 (Zen 3 (Vermeer)),16,32,64,1024,512,8,64,$799 
Ryzen 9 5900X,147,Ryzen 9 5900X,AM4,"Nov 5th, 2020",3.7,4.8,,Vermeer,Ryzen 9 (Zen 3 (Vermeer)),12,24,64,768,512,6,64,$549 
Core i5-12490F,145,Core i5-12490F,LGA1700,"Jan 1st, 2022",3,4.6,,Alder Lake-S,Core i5 (Alder Lake-S),6,12,80,480,1280,"7,5",20,
Ryzen 7 5800X,143,Ryzen 7 5800X,AM4,"Nov 5th, 2020",3.8,4.7,,Vermeer,Ryzen 7 (Zen 3 (Vermeer)),8,16,64,512,512,4,32,$449 
