CPU Name,FPS
Ryzen 7 5800X3D,203
Ryzen 7 5800X3D,201
Core i9-12900K,196
Core i7-12700K,194
Core i9-12900KS,188
Core i9-12900KS,188
Core i7-12700K,188
Core i5-12600K,186
Core i9-12900K,184
Core i9-12900K,180
Core i7-12700K,178
Core i7-12700K,177
Ryzen 9 5950X,169
Ryzen 9 5900X,169
Ryzen 9 5900X,166
Core i5-12400,165
Ryzen 7 5800X,164
Core i9-11900K,163
Ryzen 9 5950X,162
Ryzen 5 5600X,161
Core i5-12600K,161
Core i5-12600K,161
Core i5-12400,161
Core i5-12490F,159
Ryzen 7 5800X,157
Core i5-12400,155
Ryzen 5 5600,155
Ryzen 7 5700X,153
Ryzen 5 5600X,153
Ryzen 5 5600,152
Core i7-11700K,152
Core i5-11600K,146
Core i5-11400,144
Ryzen 5 5600G,140
Core i3-12100,139
Ryzen 5 5500,138
Core i3-12100,137
Ryzen 5 5600G,131
Ryzen 5 5500,129
Ryzen 5 3600X,126
Ryzen 5 3600X,120
Ryzen 5 3600,117
Ryzen 3 3300X,117
Ryzen 3 3300X,114
Core i3-10100,105
