name,Socket,Foundry,Process Size,Transistors,Die Size,Package,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,Base Clock,Multiplier,Multiplier Unlocked,Voltage,TDP,Codename,Generation,Memory Support,ECC Memory,# of Cores,# of Threads,SMP # CPUs,Integrated Graphics,Cache L1,Cache L2,Features,Notes,Rated Speed,Memory Bus,Memory Bandwidth,tJMax,Launch Price,DDR4 Speed,LPDDR5 Speed,Maximum Memory,PCI-Express,Cache L3,tCaseMax,Bundled Cooler,Northbridge Location,Chipsets,Chipset,Uncore Frequency,Configurable TDP,Configurable TDP-down,DDR3L Speed,LPDDR3 Speed,DMI Bus Speed,TDP-down Frequency,TDP-Down Freq.,FP32,PCH Die Size,SDP,PL1,PL2,Memory Capacity,E-Core Frequency,LPDDR4x Speed,Hybrid Cores,E-Core L1,E-Core L2,DDR5 Speed,Max Power,Minimum Power,PCH PCIe,Secondary PCIe,P-Core Boost 3.0,PL2 Tau Limit,TDP-Up Freq.,All-Core Turbo,TDP-Down Frequency,LPDDR4 Speed,MSRP,TDP Range,TDP-up Frequency,Configurable TDP-up,Base Die Process,Base Die Transistors,Base Die Size,All Core Turbo,Bus Speed,Packaged Memory,Processor Base Power,Min. Assured Freq.,Max. Assured Freq.,Maximum Power,Max Multi Adjust,eDRAM Process Size,eDRAM Die Size,Cache L4,All Core Frequency,Boost 3.0,Boost 2.0,Radeon Graphics Die Size,Dedicated Graphics,P-Core Turbo,Retail Launch,Boost 3.0 Frequency,DMI3,TDP-down,Effective FSB,Trace L1,L1 Trace,Core Pipeline,Core Process,Cache Process,Cache Die Size,Cache Type,Cache Dies,Low Frequency Mode,LFM Voltage,SoC Tile Process,I/O Tile Process,Graphics Tile Process,LP E-Core Frequency,NPU,AI Boost NPU,LP E-Cores,AI Boost NPU 3,Cache L0-D,Cache L0-I,LP E-Core Boost,LPDDR5x Speed,Tertiary PCIe,SoC Tile PCIe,I/O Tile PCIe,LP E-Core L2,"PL2 ""Extreme""",QPI Link,DMI,I/O Process Size,Uncore,Max. Memory,AVX-512 FMA Ports,I/O Die Size,2 DPC RAM Speed,CXL,UPI Links,Low Priority Core Freq.,High Priority Cores,Low Priority Cores,MCR DIMM Speed,High Priority Core Freq.,Max Memory,Announcement,Adjustable Multiplier,QPI Links,Package HBM,AVX2 Turbo,AVX-512 Turbo,Turbo Boost 2.0,Max Turbo Power,All P-Core Turbo,IMC Process Size,IMC Die Size,IMC Transistor Count,Updated Release,HyperTransport,Rated Bus Speed,L2 Cache Clock,Package#,Stepping Codes,Maximum TDP,I/O Transistors,# of CCDs,Cores per CCD,Total L3,Per-Socket PCI-Express,PPT,3D V-Cache,2DPC Rated Speed,NorthBridge-IMC Clock,OEM Launch MSRP,Retail Launch MSRP,Minimum Clock,Minimum Voltage,HyperTransport Links,HyperTransport Clock,FPU Pipeline,ACP,HT Links,HT Link,NB/IMC Clock,NB Frequency,XFR,P-Core Base,Retail Availability,Retail Refresh,Retail Release,XDNA NPU,Extended cTDP¹,Extended PPT¹,PBO Curve,E-Core L3,INT32,DRAM Type,GDDR6 Capacity,LPDDR4,Chipset PCIe
A100,Intel BGA 437,Intel,90 nm,176 million,66 mm²,FC-BGA12F,Mobile,End-of-life,"Jun 1st, 2007",unknown,600 MHz,,100 MHz,6.0x,No,1.175 V,3 W,Stealey,Atom (Stealey),DDR2,No,1,1,1,On certain motherboards (Chipset feature),64 KB (per core),512 KB (per core),"MMX, SSE, SSE2",B0 Stepping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A110,Intel BGA 437,Intel,90 nm,176 million,66 mm²,FC-BGA12F,Mobile,End-of-life,"Jun 1st, 2007",unknown,800 MHz,,100 MHz,8.0x,No,1.175 V,3 W,Stealey,Atom (Stealey),DDR2,No,1,1,1,On certain motherboards (Chipset feature),64 KB (per core),512 KB (per core),"MMX, SSE, SSE2",B0 Stepping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom 230,Intel BGA 437,Intel,45 nm,47 million,25.96 mm²,FC-BGA12F,Mobile,End-of-life,"Jun 3rd, 2008",SLB6Z,1600 MHz,,133 MHz,12.0x,No,1.1625 V,4 W,Diamondville,Atom (Diamondville),unknown,No,1,2,1,On certain motherboards (Chipset feature),64 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, Intel 64, XD bit, HTT",C0 Stepping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom 330,Intel BGA 437,Intel,45 nm,47 million,25.96 mm²,FC-BGA12F,Mobile,End-of-life,"Jun 3rd, 2008",SLG9Y,1600 MHz,,133 MHz,12.0x,No,1.1625 V,8 W,Diamondville,Atom (Diamondville),unknown,No,2,4,1,On certain motherboards (Chipset feature),64 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, Intel 64, XD bit, HTT",C0 Stepping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom CE4100,Intel BGA 951,Intel,45 nm,47 million,96 mm²,FC-BGA12F,Mobile,End-of-life,"Sep 24th, 2009",unknown,1200 MHz,,100 MHz,12.0x,No,1.1625 V,7 W,Sodaville,Atom (Sodaville),"DDR2, DDR3",No,1,1,1,On certain motherboards (Chipset feature),56 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, EIST, XD bit, BPT",Integrated GMA 500 operates at 200MHz engine clock.AV input disabled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom CE4130,Intel BGA 951,Intel,45 nm,47 million,96 mm²,FC-BGA12F,Mobile,End-of-life,"Sep 24th, 2009",unknown,1200 MHz,,100 MHz,12.0x,No,1.1625 V,7 W,Sodaville,Atom (Sodaville),"DDR2, DDR3",No,1,1,1,On certain motherboards (Chipset feature),56 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, EIST, XD bit, BPT",Integrated GMA 500 operates at 200MHz engine clock.AV input enabled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom CE4150,Intel BGA 951,Intel,45 nm,47 million,96 mm²,FC-BGA12F,Mobile,End-of-life,"Sep 24th, 2009",unknown,1200 MHz,,100 MHz,12.0x,No,1.1625 V,7 W,Sodaville,Atom (Sodaville),"DDR2, DDR3",No,1,1,1,On certain motherboards (Chipset feature),56 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, EIST, XD bit, BPT",Integrated GMA 500 operates at 400MHz engine clock.AV input enabled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom D2500,Intel BGA 437,Intel,32 nm,176 million,66 mm²,FC-BGA12F,Mobile,End-of-life,"Nov 1st, 2011",SR0D8,1867 MHz,,133 MHz,15.0x,No,1.21 V,10 W,Cedarview,Atom (Cedarview),DDR3,No,2,4,1,On certain motherboards (Chipset feature),64 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, Intel 64, XD bit, HTT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom D2550,Intel BGA 437,Intel,32 nm,176 million,66 mm²,FC-BGA12F,Mobile,End-of-life,"Nov 1st, 2011",SR0VY,1867 MHz,,133 MHz,15.0x,No,1.21 V,10 W,Cedarview,Atom (Cedarview),DDR3,No,2,4,1,On certain motherboards (Chipset feature),64 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, Intel 64, XD bit, HTT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atom D2700,Intel BGA 437,Intel,32 nm,176 million,66 mm²,FC-BGA12F,Mobile,End-of-life,"Nov 1st, 2011",SR0D9,2.133 GHz,,133 MHz,18.0x,No,1.21 V,10 W,Cedarview,Atom (Cedarview),DDR3,No,2,4,1,On certain motherboards (Chipset feature),64 KB (per core),512 KB (per core),"MMX, SSE, SSE2, SSE3, SSSE3, Intel 64, XD bit, HTT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
